"start_datetime_utc","end_datetime_utc","start_date_la","end_date_la","dates_la","year","duration_days","cycle_index"
"2000-02-21 13:00:00 UTC","2000-03-14 20:00:00 UTC",2000-02-21,2000-03-14,"Feb 21 - Mar 14",2000,22,1
"2000-06-23 09:00:00 UTC","2000-07-17 13:00:00 UTC",2000-06-23,2000-07-17,"Jun 23 - Jul 17",2000,24,2
"2000-10-18 14:00:00 UTC","2000-11-08 02:00:00 UTC",2000-10-18,2000-11-07,"Oct 18 - Nov 07",2000,20,3
"2001-02-04 02:00:00 UTC","2001-02-25 15:00:00 UTC",2001-02-03,2001-02-25,"Feb 3–25",2001,22,4
"2001-06-04 06:00:00 UTC","2001-06-28 05:00:00 UTC",2001-06-03,2001-06-27,"Jun 3–27",2001,24,5
"2001-10-01 20:00:00 UTC","2001-10-23 00:00:00 UTC",2001-10-01,2001-10-22,"Oct 1–22",2001,21,6
"2002-01-18 21:00:00 UTC","2002-02-08 17:00:00 UTC",2002-01-18,2002-02-08,"Jan 18 - Feb 08",2002,21,7
"2002-05-15 19:00:00 UTC","2002-06-08 15:00:00 UTC",2002-05-15,2002-06-08,"May 15 - Jun 08",2002,24,8
"2002-09-14 20:00:00 UTC","2002-10-06 19:00:00 UTC",2002-09-14,2002-10-06,"Sep 14 - Oct 06",2002,22,9
"2003-01-02 19:00:00 UTC","2003-01-23 01:00:00 UTC",2003-01-02,2003-01-22,"Jan 2–22",2003,20,10
"2003-04-26 12:00:00 UTC","2003-05-20 07:00:00 UTC",2003-04-26,2003-05-20,"Apr 26 - May 20",2003,24,11
"2003-08-28 14:00:00 UTC","2003-09-20 08:00:00 UTC",2003-08-28,2003-09-20,"Aug 28 - Sep 20",2003,23,12
"2003-12-17 17:00:00 UTC","2004-01-06 13:00:00 UTC",2003-12-17,2004-01-06,"Dec 17 - Jan 06",2003,20,13
"2004-04-06 21:00:00 UTC","2004-04-30 13:00:00 UTC",2004-04-06,2004-04-30,"Apr 6–30",2004,24,14
"2004-08-10 01:00:00 UTC","2004-09-02 13:00:00 UTC",2004-08-09,2004-09-02,"Aug 09 - Sep 02",2004,24,15
"2004-11-30 13:00:00 UTC","2004-12-20 06:00:00 UTC",2004-11-30,2004-12-19,"Nov 30 - Dec 19",2004,19,16
"2005-03-20 01:00:00 UTC","2005-04-12 07:00:00 UTC",2005-03-19,2005-04-12,"Mar 19 - Apr 12",2005,24,17
"2005-07-23 04:00:00 UTC","2005-08-16 03:00:00 UTC",2005-07-22,2005-08-15,"Jul 22 - Aug 15",2005,24,18
"2005-11-14 06:00:00 UTC","2005-12-04 02:00:00 UTC",2005-11-13,2005-12-03,"Nov 13 - Dec 03",2005,20,19
"2006-03-02 21:00:00 UTC","2006-03-25 13:00:00 UTC",2006-03-02,2006-03-25,"Mar 2–25",2006,23,20
"2006-07-04 20:00:00 UTC","2006-07-29 00:00:00 UTC",2006-07-04,2006-07-28,"Jul 4–28",2006,24,21
"2006-10-28 20:00:00 UTC","2006-11-18 00:00:00 UTC",2006-10-28,2006-11-17,"Oct 28 - Nov 17",2006,20,22
"2007-02-14 05:00:00 UTC","2007-03-08 04:00:00 UTC",2007-02-13,2007-03-07,"Feb 13 - Mar 07",2007,22,23
"2007-06-16 00:00:00 UTC","2007-07-10 02:00:00 UTC",2007-06-15,2007-07-09,"Jun 15 - Jul 09",2007,24,24
"2007-10-12 05:00:00 UTC","2007-11-01 22:00:00 UTC",2007-10-11,2007-11-01,"Oct 11 - Nov 01",2007,21,25
"2008-01-28 21:00:00 UTC","2008-02-19 02:00:00 UTC",2008-01-28,2008-02-18,"Jan 28 - Feb 18",2008,21,26
"2008-05-26 16:00:00 UTC","2008-06-19 14:00:00 UTC",2008-05-26,2008-06-19,"May 26 - Jun 19",2008,24,27
"2008-09-24 08:00:00 UTC","2008-10-15 20:00:00 UTC",2008-09-24,2008-10-15,"Sep 24 - Oct 15",2008,21,28
"2009-01-11 17:00:00 UTC","2009-02-01 07:00:00 UTC",2009-01-11,2009-01-31,"Jan 11–31",2009,20,29
"2009-05-07 06:00:00 UTC","2009-05-31 01:00:00 UTC",2009-05-06,2009-05-30,"May 6–30",2009,24,30
"2009-09-07 05:00:00 UTC","2009-09-29 13:00:00 UTC",2009-09-06,2009-09-29,"Sep 6–29",2009,23,31
"2009-12-26 15:00:00 UTC","2010-01-15 16:00:00 UTC",2009-12-26,2010-01-15,"Dec 26 - Jan 15",2009,20,32
"2010-04-18 05:00:00 UTC","2010-05-11 22:00:00 UTC",2010-04-17,2010-05-11,"Apr 17 - May 11",2010,24,33
"2010-08-20 20:00:00 UTC","2010-09-12 23:00:00 UTC",2010-08-20,2010-09-12,"Aug 20 - Sep 12",2010,23,34
"2010-12-10 13:00:00 UTC","2010-12-30 07:00:00 UTC",2010-12-10,2010-12-29,"Dec 10–29",2010,19,35
"2011-03-30 21:00:00 UTC","2011-04-23 10:00:00 UTC",2011-03-30,2011-04-23,"Mar 30 - Apr 23",2011,24,36
"2011-08-03 04:00:00 UTC","2011-08-26 22:00:00 UTC",2011-08-02,2011-08-26,"Aug 2–26",2011,24,37
"2011-11-24 08:00:00 UTC","2011-12-14 01:00:00 UTC",2011-11-24,2011-12-13,"Nov 24 - Dec 13",2011,19,38
"2012-03-12 08:00:00 UTC","2012-04-04 10:00:00 UTC",2012-03-12,2012-04-04,"Mar 12 - Apr 04",2012,23,39
"2012-07-15 03:00:00 UTC","2012-08-08 05:00:00 UTC",2012-07-14,2012-08-07,"Jul 14 - Aug 07",2012,24,40
"2012-11-07 00:00:00 UTC","2012-11-26 22:00:00 UTC",2012-11-06,2012-11-26,"Nov 6–26",2012,20,41
"2013-02-23 10:00:00 UTC","2013-03-17 20:00:00 UTC",2013-02-23,2013-03-17,"Feb 23 - Mar 17",2013,22,42
"2013-06-26 14:00:00 UTC","2013-07-20 18:00:00 UTC",2013-06-26,2013-07-20,"Jun 26 - Jul 20",2013,24,43
"2013-10-21 11:00:00 UTC","2013-11-10 21:00:00 UTC",2013-10-21,2013-11-10,"Oct 21 - Nov 10",2013,20,44
"2014-02-06 22:00:00 UTC","2014-02-28 14:00:00 UTC",2014-02-06,2014-02-28,"Feb 6–28",2014,22,45
"2014-06-07 12:00:00 UTC","2014-07-01 12:00:00 UTC",2014-06-07,2014-07-01,"Jun 07 - Jul 01",2014,24,46
"2014-10-04 18:00:00 UTC","2014-10-25 19:00:00 UTC",2014-10-04,2014-10-25,"Oct 4–25",2014,21,47
"2015-01-21 16:00:00 UTC","2015-02-11 14:00:00 UTC",2015-01-21,2015-02-11,"Jan 21 - Feb 11",2015,21,48
"2015-05-19 02:00:00 UTC","2015-06-11 22:00:00 UTC",2015-05-18,2015-06-11,"May 18 - Jun 11",2015,24,49
"2015-09-17 19:00:00 UTC","2015-10-09 14:00:00 UTC",2015-09-17,2015-10-09,"Sep 17 - Oct 09",2015,22,50
"2016-01-05 14:00:00 UTC","2016-01-25 21:00:00 UTC",2016-01-05,2016-01-25,"Jan 5–25",2016,20,51
"2016-04-28 18:00:00 UTC","2016-05-22 13:00:00 UTC",2016-04-28,2016-05-22,"Apr 28 - May 22",2016,24,52
"2016-08-30 14:00:00 UTC","2016-09-22 05:00:00 UTC",2016-08-30,2016-09-21,"Aug 30 - Sep 21",2016,22,53
"2016-12-19 11:00:00 UTC","2017-01-08 09:00:00 UTC",2016-12-19,2017-01-08,"Dec 19 - Jan 08",2016,20,54
"2017-04-10 00:00:00 UTC","2017-05-03 16:00:00 UTC",2017-04-09,2017-05-03,"Apr 09 - May 03",2017,24,55
"2017-08-13 02:00:00 UTC","2017-09-05 11:00:00 UTC",2017-08-12,2017-09-05,"Aug 12 - Sep 05",2017,24,56
"2017-12-03 08:00:00 UTC","2017-12-23 01:00:00 UTC",2017-12-03,2017-12-22,"Dec 3–22",2017,19,57
"2018-03-23 01:00:00 UTC","2018-04-15 09:00:00 UTC",2018-03-22,2018-04-15,"Mar 22 - Apr 15",2018,24,58
"2018-07-26 06:00:00 UTC","2018-08-19 04:00:00 UTC",2018-07-25,2018-08-18,"Jul 25 - Aug 18",2018,24,59
"2018-11-17 02:00:00 UTC","2018-12-06 21:00:00 UTC",2018-11-16,2018-12-06,"Nov 16 - Dec 06",2018,20,60
"2019-03-05 19:00:00 UTC","2019-03-28 13:00:00 UTC",2019-03-05,2019-03-28,"Mar 5–28",2019,23,61
"2019-07-08 00:00:00 UTC","2019-08-01 03:00:00 UTC",2019-07-07,2019-07-31,"Jul 7–31",2019,24,62
"2019-10-31 16:00:00 UTC","2019-11-20 19:00:00 UTC",2019-10-31,2019-11-20,"Oct 31 - Nov 20",2019,20,63
"2020-02-17 01:00:00 UTC","2020-03-10 03:00:00 UTC",2020-02-16,2020-03-09,"Feb 16 - Mar 09",2020,22,64
"2020-06-18 05:00:00 UTC","2020-07-12 08:00:00 UTC",2020-06-17,2020-07-12,"Jun 17 - Jul 12",2020,25,65
"2020-10-14 02:00:00 UTC","2020-11-03 17:00:00 UTC",2020-10-13,2020-11-03,"Oct 13 - Nov 03",2020,21,66
"2021-01-30 16:00:00 UTC","2021-02-21 00:00:00 UTC",2021-01-30,2021-02-20,"Jan 30 - Feb 20",2021,21,67
"2021-05-29 23:00:00 UTC","2021-06-22 22:00:00 UTC",2021-05-29,2021-06-22,"May 29 - Jun 22",2021,24,68
"2021-09-27 06:00:00 UTC","2021-10-18 15:00:00 UTC",2021-09-26,2021-10-18,"Sep 26 - Oct 18",2021,22,69
"2022-01-14 12:00:00 UTC","2022-02-04 04:00:00 UTC",2022-01-14,2022-02-03,"Jan 14 - Feb 03",2022,20,70
"2022-05-10 12:00:00 UTC","2022-06-03 08:00:00 UTC",2022-05-10,2022-06-03,"May 10 - Jun 03",2022,24,71
"2022-09-10 04:00:00 UTC","2022-10-02 09:00:00 UTC",2022-09-09,2022-10-02,"Sep 09 - Oct 02",2022,23,72
"2022-12-29 10:00:00 UTC","2023-01-18 13:00:00 UTC",2022-12-29,2023-01-18,"Dec 29 - Jan 18",2022,20,73
"2023-04-21 09:00:00 UTC","2023-05-15 03:00:00 UTC",2023-04-21,2023-05-14,"Apr 21 - May 14",2023,23,74
"2023-08-23 20:00:00 UTC","2023-09-15 20:00:00 UTC",2023-08-23,2023-09-15,"Aug 23 - Sep 15",2023,23,75
"2023-12-13 08:00:00 UTC","2024-01-02 03:00:00 UTC",2023-12-13,2024-01-01,"Dec 13 - Jan 01",2023,19,76
"2024-04-01 23:00:00 UTC","2024-04-25 12:00:00 UTC",2024-04-01,2024-04-25,"Apr 1–25",2024,24,77
"2024-08-05 05:00:00 UTC","2024-08-28 21:00:00 UTC",2024-08-04,2024-08-28,"Aug 4–28",2024,24,78
"2024-11-26 03:00:00 UTC","2024-12-15 20:00:00 UTC",2024-11-25,2024-12-15,"Nov 25 - Dec 15",2024,20,79
"2025-03-15 07:00:00 UTC","2025-04-07 11:00:00 UTC",2025-03-15,2025-04-07,"Mar 15 - Apr 07",2025,23,80
"2025-07-18 05:00:00 UTC","2025-08-11 07:00:00 UTC",2025-07-17,2025-08-11,"Jul 17 - Aug 11",2025,25,81
"2025-11-09 20:00:00 UTC","2025-11-29 17:00:00 UTC",2025-11-09,2025-11-29,"Nov 9–29",2025,20,82
"2026-02-26 07:00:00 UTC","2026-03-20 19:00:00 UTC",2026-02-25,2026-03-20,"Feb 25 - Mar 20",2026,23,83
"2026-06-29 18:00:00 UTC","2026-07-23 22:00:00 UTC",2026-06-29,2026-07-23,"Jun 29 - Jul 23",2026,24,84
"2026-10-24 08:00:00 UTC","2026-11-13 15:00:00 UTC",2026-10-24,2026-11-13,"Oct 24 - Nov 13",2026,20,85
"2027-02-09 18:00:00 UTC","2027-03-03 12:00:00 UTC",2027-02-09,2027-03-03,"Feb 09 - Mar 03",2027,22,86
"2027-06-10 19:00:00 UTC","2027-07-04 19:00:00 UTC",2027-06-10,2027-07-04,"Jun 10 - Jul 04",2027,24,87
"2027-10-07 15:00:00 UTC","2027-10-28 14:00:00 UTC",2027-10-07,2027-10-28,"Oct 7–28",2027,21,88
"2028-01-24 12:00:00 UTC","2028-02-14 12:00:00 UTC",2028-01-24,2028-02-14,"Jan 24 - Feb 14",2028,21,89
"2028-05-21 09:00:00 UTC","2028-06-14 06:00:00 UTC",2028-05-21,2028-06-13,"May 21 - Jun 13",2028,23,90
"2028-09-19 17:00:00 UTC","2028-10-11 10:00:00 UTC",2028-09-19,2028-10-11,"Sep 19 - Oct 11",2028,22,91
"2029-01-07 08:00:00 UTC","2029-01-27 18:00:00 UTC",2029-01-07,2029-01-27,"Jan 7–27",2029,20,92
"2029-05-02 00:00:00 UTC","2029-05-25 19:00:00 UTC",2029-05-01,2029-05-25,"May 1–25",2029,24,93
"2029-09-02 13:00:00 UTC","2029-09-25 02:00:00 UTC",2029-09-02,2029-09-24,"Sep 2–24",2029,22,94
"2029-12-22 06:00:00 UTC","2030-01-11 05:00:00 UTC",2029-12-21,2030-01-10,"Dec 21 - Jan 10",2029,20,95
"2030-04-13 03:00:00 UTC","2030-05-06 20:00:00 UTC",2030-04-12,2030-05-06,"Apr 12 - May 06",2030,24,96
"2030-08-16 02:00:00 UTC","2030-09-08 09:00:00 UTC",2030-08-15,2030-09-08,"Aug 15 - Sep 08",2030,24,97
"2030-12-06 03:00:00 UTC","2030-12-25 21:00:00 UTC",2030-12-05,2030-12-25,"Dec 5–25",2030,20,98
"2031-03-26 01:00:00 UTC","2031-04-18 11:00:00 UTC",2031-03-25,2031-04-18,"Mar 25 - Apr 18",2031,24,99
"2031-07-29 07:00:00 UTC","2031-08-22 04:00:00 UTC",2031-07-29,2031-08-21,"Jul 29 - Aug 21",2031,23,100
"2031-11-19 22:00:00 UTC","2031-12-09 16:00:00 UTC",2031-11-19,2031-12-09,"Nov 19 - Dec 09",2031,20,101
"2032-03-07 17:00:00 UTC","2032-03-30 14:00:00 UTC",2032-03-07,2032-03-30,"Mar 7–30",2032,23,102
"2032-07-10 03:00:00 UTC","2032-08-03 06:00:00 UTC",2032-07-09,2032-08-02,"Jul 09 - Aug 02",2032,24,103
"2032-11-02 12:00:00 UTC","2032-11-22 14:00:00 UTC",2032-11-02,2032-11-22,"Nov 2–22",2032,20,104
"2033-02-18 22:00:00 UTC","2033-03-13 02:00:00 UTC",2033-02-18,2033-03-12,"Feb 18 - Mar 12",2033,22,105
"2033-06-21 11:00:00 UTC","2033-07-15 14:00:00 UTC",2033-06-21,2033-07-15,"Jun 21 - Jul 15",2033,24,106
"2033-10-16 23:00:00 UTC","2033-11-06 12:00:00 UTC",2033-10-16,2033-11-06,"Oct 16 - Nov 06",2033,21,107
"2034-02-02 12:00:00 UTC","2034-02-23 22:00:00 UTC",2034-02-02,2034-02-23,"Feb 2–23",2034,21,108
"2034-06-02 06:00:00 UTC","2034-06-26 05:00:00 UTC",2034-06-01,2034-06-25,"Jun 1–25",2034,24,109
"2034-09-30 04:00:00 UTC","2034-10-21 10:00:00 UTC",2034-09-29,2034-10-21,"Sep 29 - Oct 21",2034,22,110
"2035-01-17 07:00:00 UTC","2035-02-07 01:00:00 UTC",2035-01-16,2035-02-06,"Jan 16 - Feb 06",2035,21,111
"2035-05-13 19:00:00 UTC","2035-06-06 14:00:00 UTC",2035-05-13,2035-06-06,"May 13 - Jun 06",2035,24,112
"2035-09-13 03:00:00 UTC","2035-10-05 04:00:00 UTC",2035-09-12,2035-10-04,"Sep 12 - Oct 04",2035,22,113
"2036-01-01 05:00:00 UTC","2036-01-21 09:00:00 UTC",2035-12-31,2036-01-21,"Dec 31 - Jan 21",2035,21,114
"2036-04-23 14:00:00 UTC","2036-05-17 08:00:00 UTC",2036-04-23,2036-05-17,"Apr 23 - May 17",2036,24,115
"2036-08-25 20:00:00 UTC","2036-09-17 17:00:00 UTC",2036-08-25,2036-09-17,"Aug 25 - Sep 17",2036,23,116
"2036-12-15 03:00:00 UTC","2037-01-03 22:00:00 UTC",2036-12-14,2037-01-03,"Dec 14 - Jan 03",2036,20,117
"2037-04-05 01:00:00 UTC","2037-04-28 15:00:00 UTC",2037-04-04,2037-04-28,"Apr 4–28",2037,24,118
"2037-08-08 06:00:00 UTC","2037-08-31 20:00:00 UTC",2037-08-07,2037-08-31,"Aug 7–31",2037,24,119
"2037-11-28 23:00:00 UTC","2037-12-18 16:00:00 UTC",2037-11-28,2037-12-18,"Nov 28 - Dec 18",2037,20,120
"2038-03-18 07:00:00 UTC","2038-04-10 12:00:00 UTC",2038-03-18,2038-04-10,"Mar 18 - Apr 10",2038,23,121
"2038-07-21 07:00:00 UTC","2038-08-14 08:00:00 UTC",2038-07-21,2038-08-14,"Jul 21 - Aug 14",2038,24,122
"2038-11-12 15:00:00 UTC","2038-12-02 12:00:00 UTC",2038-11-12,2038-12-02,"Nov 12 - Dec 02",2038,20,123
"2039-03-01 05:00:00 UTC","2039-03-23 19:00:00 UTC",2039-02-28,2039-03-23,"Feb 28 - Mar 23",2039,23,124
"2039-07-02 22:00:00 UTC","2039-07-27 03:00:00 UTC",2039-07-02,2039-07-26,"Jul 2–26",2039,24,125
"2039-10-27 04:00:00 UTC","2039-11-16 10:00:00 UTC",2039-10-26,2039-11-16,"Oct 26 - Nov 16",2039,21,126
"2040-02-12 14:00:00 UTC","2040-03-05 11:00:00 UTC",2040-02-12,2040-03-05,"Feb 12 - Mar 05",2040,22,127
"2040-06-13 01:00:00 UTC","2040-07-07 02:00:00 UTC",2040-06-12,2040-07-06,"Jun 12 - Jul 06",2040,24,128
"2040-10-09 13:00:00 UTC","2040-10-30 09:00:00 UTC",2040-10-09,2040-10-30,"Oct 9–30",2040,21,129
"2041-01-26 07:00:00 UTC","2041-02-16 10:00:00 UTC",2041-01-25,2041-02-16,"Jan 25 - Feb 16",2041,22,130
"2041-05-24 16:00:00 UTC","2041-06-17 13:00:00 UTC",2041-05-24,2041-06-17,"May 24 - Jun 17",2041,24,131
"2041-09-22 15:00:00 UTC","2041-10-14 05:00:00 UTC",2041-09-22,2041-10-13,"Sep 22 - Oct 13",2041,21,132
"2042-01-10 03:00:00 UTC","2042-01-30 15:00:00 UTC",2042-01-09,2042-01-30,"Jan 9–30",2042,21,133
"2042-05-05 06:00:00 UTC","2042-05-29 01:00:00 UTC",2042-05-04,2042-05-28,"May 4–28",2042,24,134
"2042-09-05 12:00:00 UTC","2042-09-27 22:00:00 UTC",2042-09-05,2042-09-27,"Sep 5–27",2042,22,135
"2042-12-25 01:00:00 UTC","2043-01-14 01:00:00 UTC",2042-12-24,2043-01-13,"Dec 24 - Jan 13",2042,20,136
"2043-04-16 07:00:00 UTC","2043-05-10 00:00:00 UTC",2043-04-16,2043-05-09,"Apr 16 - May 09",2043,23,137
"2043-08-19 02:00:00 UTC","2043-09-11 07:00:00 UTC",2043-08-18,2043-09-11,"Aug 18 - Sep 11",2043,24,138
"2043-12-08 22:00:00 UTC","2043-12-28 16:00:00 UTC",2043-12-08,2043-12-28,"Dec 8–28",2043,20,139
"2044-03-28 02:00:00 UTC","2044-04-20 13:00:00 UTC",2044-03-27,2044-04-20,"Mar 27 - Apr 20",2044,24,140
"2044-07-31 09:00:00 UTC","2044-08-24 04:00:00 UTC",2044-07-31,2044-08-23,"Jul 31 - Aug 23",2044,23,141
"2044-11-21 17:00:00 UTC","2044-12-11 11:00:00 UTC",2044-11-21,2044-12-11,"Nov 21 - Dec 11",2044,20,142
"2045-03-10 15:00:00 UTC","2045-04-02 15:00:00 UTC",2045-03-10,2045-04-02,"Mar 10 - Apr 02",2045,23,143
"2045-07-13 06:00:00 UTC","2045-08-06 09:00:00 UTC",2045-07-12,2045-08-06,"Jul 12 - Aug 06",2045,25,144
"2045-11-05 09:00:00 UTC","2045-11-25 08:00:00 UTC",2045-11-05,2045-11-25,"Nov 5–25",2045,20,145
"2046-02-21 19:00:00 UTC","2046-03-16 02:00:00 UTC",2046-02-21,2046-03-15,"Feb 21 - Mar 15",2046,22,146
"2046-06-24 15:00:00 UTC","2046-07-18 19:00:00 UTC",2046-06-24,2046-07-18,"Jun 24 - Jul 18",2046,24,147
"2046-10-19 19:00:00 UTC","2046-11-09 07:00:00 UTC",2046-10-19,2046-11-08,"Oct 19 - Nov 08",2046,20,148
"2047-02-05 08:00:00 UTC","2047-02-26 21:00:00 UTC",2047-02-05,2047-02-26,"Feb 5–26",2047,21,149
"2047-06-05 13:00:00 UTC","2047-06-29 12:00:00 UTC",2047-06-05,2047-06-29,"Jun 5–29",2047,24,150
"2047-10-03 01:00:00 UTC","2047-10-24 05:00:00 UTC",2047-10-02,2047-10-23,"Oct 2–23",2047,21,151
"2048-01-20 02:00:00 UTC","2048-02-09 22:00:00 UTC",2048-01-19,2048-02-09,"Jan 19 - Feb 09",2048,21,152
"2048-05-16 02:00:00 UTC","2048-06-08 21:00:00 UTC",2048-05-15,2048-06-08,"May 15 - Jun 08",2048,24,153
"2048-09-15 02:00:00 UTC","2048-10-07 00:00:00 UTC",2048-09-14,2048-10-06,"Sep 14 - Oct 06",2048,22,154
"2049-01-03 00:00:00 UTC","2049-01-23 06:00:00 UTC",2049-01-02,2049-01-22,"Jan 2–22",2049,20,155
"2049-04-26 19:00:00 UTC","2049-05-20 13:00:00 UTC",2049-04-26,2049-05-20,"Apr 26 - May 20",2049,24,156
"2049-08-28 20:00:00 UTC","2049-09-20 14:00:00 UTC",2049-08-28,2049-09-20,"Aug 28 - Sep 20",2049,23,157
"2049-12-17 21:00:00 UTC","2050-01-06 18:00:00 UTC",2049-12-17,2050-01-06,"Dec 17 - Jan 06",2049,20,158
"2050-04-08 03:00:00 UTC","2050-05-01 19:00:00 UTC",2050-04-07,2050-05-01,"Apr 07 - May 01",2050,24,159
